C,gamma,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Avg Accuracy,stdev
0.5,0.01,78.57142857,77.90178571,78.79464286,78.125,77.90178571,78.79464286,77.67857143,78.57142857,77.90178571,77.67857143,78.125,77.90178571,78.79464286,78.125,78.57142857,78.57142857,78.34821429,77.67857143,78.57142857,77.45535714,78.125,77.67857143,78.125,78.34821429,78.34821429,78.125,77.00892857,78.125,78.34821429,78.125,77.67857143,78.57142857,77.67857143,77.45535714,78.79464286,78.34821429,78.57142857,78.125,78.57142857,78.125,78.125,78.79464286,77.90178571,77.90178571,77.90178571,78.79464286,78.34821429,77.45535714,77.67857143,78.79464286,78.16071429,0.43573191
0.5,0.1,78.125,78.34821429,77.23214286,78.34821429,77.67857143,77.90178571,77.90178571,78.34821429,78.34821429,78.57142857,77.67857143,77.90178571,77.67857143,77.45535714,78.34821429,77.45535714,77.45535714,78.125,78.57142857,77.23214286,77.90178571,78.125,77.67857143,77.90178571,78.34821429,79.24107143,78.34821429,78.34821429,78.125,79.01785714,79.01785714,78.125,77.90178571,78.57142857,77.67857143,77.90178571,78.57142857,77.67857143,77.90178571,78.125,78.79464286,78.57142857,78.125,78.34821429,77.23214286,77.90178571,77.67857143,78.57142857,78.125,77.90178571,78.08928571,0.462888962
0.5,1,77.45535714,77.90178571,78.125,78.125,77.23214286,78.125,78.79464286,77.90178571,78.34821429,78.125,78.125,78.57142857,77.23214286,78.79464286,77.90178571,77.67857143,77.90178571,77.90178571,78.125,79.24107143,77.67857143,78.34821429,78.79464286,77.90178571,77.90178571,77.67857143,78.79464286,78.34821429,78.125,77.67857143,77.23214286,78.125,79.01785714,78.34821429,77.67857143,78.125,77.90178571,77.67857143,77.90178571,78.57142857,77.90178571,77.45535714,77.90178571,77.45535714,77.90178571,77.90178571,77.45535714,77.90178571,77.45535714,77.67857143,78.00892857,0.462625283
0.5,10,78.34821429,77.90178571,78.125,77.90178571,77.90178571,78.34821429,77.90178571,78.34821429,77.00892857,78.79464286,77.90178571,78.34821429,76.11607143,77.90178571,78.34821429,77.45535714,77.45535714,78.57142857,78.34821429,77.45535714,77.45535714,77.90178571,78.125,77.67857143,78.34821429,77.23214286,78.125,77.67857143,77.67857143,77.90178571,78.79464286,78.34821429,77.23214286,78.125,78.125,78.57142857,78.34821429,78.34821429,78.57142857,77.67857143,77.67857143,78.34821429,77.45535714,78.125,78.125,78.34821429,77.90178571,78.125,77.45535714,78.79464286,77.98214286,0.505720092
0.5,50,77.67857143,77.67857143,78.125,77.23214286,78.125,77.67857143,78.79464286,78.34821429,77.67857143,78.125,78.125,78.125,77.67857143,77.67857143,78.34821429,78.125,78.34821429,77.45535714,78.79464286,77.67857143,78.34821429,78.125,77.67857143,77.00892857,77.45535714,78.34821429,78.34821429,78.125,77.67857143,78.57142857,78.34821429,78.125,78.34821429,78.79464286,77.90178571,78.34821429,78.57142857,77.90178571,78.125,77.67857143,78.34821429,77.45535714,77.90178571,78.34821429,77.45535714,77.90178571,77.67857143,77.90178571,78.125,77.67857143,78.00892857,0.406465698
0.5,100,78.34821429,78.125,77.90178571,78.125,78.57142857,77.90178571,77.90178571,77.67857143,77.90178571,77.45535714,77.90178571,77.67857143,78.125,77.45535714,78.125,77.90178571,78.34821429,78.34821429,78.34821429,78.125,77.45535714,77.45535714,77.67857143,77.67857143,78.57142857,78.79464286,77.67857143,79.01785714,78.125,77.67857143,78.57142857,78.125,77.90178571,78.125,77.23214286,77.90178571,77.67857143,78.125,78.57142857,77.67857143,78.57142857,78.34821429,77.90178571,78.34821429,78.34821429,77.90178571,77.23214286,77.90178571,77.90178571,79.01785714,78.03571429,0.418203988
0.5,500,77.23214286,77.90178571,78.125,77.90178571,77.67857143,77.67857143,77.90178571,78.79464286,77.90178571,77.90178571,77.90178571,78.125,79.01785714,78.125,77.23214286,77.23214286,78.57142857,77.45535714,78.34821429,78.125,78.125,77.90178571,77.45535714,77.90178571,77.90178571,78.125,78.34821429,77.67857143,77.67857143,78.34821429,76.78571429,77.90178571,77.90178571,76.78571429,78.34821429,77.45535714,78.34821429,78.34821429,77.45535714,78.34821429,78.125,78.57142857,78.125,77.00892857,78.57142857,77.67857143,77.45535714,77.90178571,78.57142857,78.34821429,77.93303571,0.487809702
0.5,1000,78.125,77.23214286,77.23214286,78.34821429,77.90178571,78.34821429,77.67857143,77.67857143,77.45535714,77.67857143,77.67857143,77.90178571,78.34821429,77.90178571,77.90178571,77.90178571,77.90178571,77.67857143,77.67857143,78.57142857,78.125,77.23214286,77.90178571,78.125,78.34821429,78.125,77.67857143,78.125,78.34821429,77.90178571,78.57142857,77.45535714,78.57142857,77.90178571,77.90178571,78.125,77.90178571,77.90178571,77.67857143,79.24107143,77.90178571,78.79464286,78.125,78.57142857,78.125,78.57142857,78.125,77.45535714,77.00892857,77.90178571,77.97767857,0.431628771
1,0.001,81.25,80.80357143,80.13392857,79.91071429,80.58035714,81.02678571,80.35714286,80.58035714,81.02678571,80.58035714,80.80357143,79.91071429,81.02678571,81.47321429,80.35714286,81.25,80.58035714,80.80357143,80.80357143,80.58035714,80.80357143,80.58035714,81.02678571,81.25,80.58035714,80.35714286,80.35714286,80.58035714,81.25,80.35714286,80.58035714,80.58035714,80.80357143,81.02678571,79.91071429,80.13392857,80.13392857,81.47321429,80.58035714,81.02678571,79.6875,80.35714286,79.91071429,81.25,81.25,81.47321429,81.02678571,80.35714286,80.80357143,80.35714286,80.67410714,0.451163844
1,0.01,81.25,81.47321429,81.25,81.25,81.69642857,81.02678571,80.13392857,80.58035714,80.80357143,80.58035714,80.35714286,80.35714286,80.13392857,80.58035714,80.35714286,80.35714286,80.13392857,80.35714286,80.80357143,80.58035714,80.13392857,80.35714286,80.35714286,79.91071429,80.35714286,80.58035714,81.02678571,81.02678571,80.58035714,80.80357143,81.25,81.02678571,80.35714286,80.80357143,80.58035714,79.91071429,80.80357143,80.13392857,80.58035714,79.6875,80.80357143,79.91071429,80.80357143,80.13392857,81.25,81.25,80.58035714,81.25,80.13392857,79.91071429,80.60714286,0.467870635
1,0.1,81.02678571,81.69642857,81.25,80.58035714,80.13392857,80.80357143,80.35714286,81.02678571,80.80357143,80.80357143,81.02678571,81.02678571,80.35714286,80.58035714,81.02678571,80.80357143,80.35714286,80.80357143,81.25,80.80357143,80.35714286,80.80357143,79.91071429,80.35714286,80.13392857,80.35714286,81.02678571,81.47321429,81.02678571,80.13392857,80.58035714,81.02678571,81.47321429,80.58035714,80.13392857,80.58035714,81.25,81.25,80.58035714,80.58035714,81.02678571,80.35714286,81.02678571,81.02678571,80.80357143,80.58035714,81.02678571,80.58035714,80.35714286,80.58035714,80.75,0.394584395
